adId,link,price,pricePerMeter,area,photo,dateCreated,pushedUpAt,isPrivateOwner,date
62902308,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-12-ID4fWLm,417012,7600,54.87,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjV5cGhodzI5OGhrMDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ZwyAaI2LXtfCM6PKWktSrK90TjAQcRDIbyKp2TWHFTc/image;s=1280x1024;q=80,2022-12-20 19:00:34,2022-12-20T19:00:35+01:00,False,2023-01-06
63788024,https://www.otodom.pl/pl/oferta/atrakcyjna-cena-46m2-w-pabianicach-ID4jEb6,240000,5217,46.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBrYWs3d2hkdWNpZDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.8tl_5tEgKXxFq7EupO_5B2gEtkCk5H3613rvn7bVnPI/image;s=1280x1024;q=80,2022-12-19 19:16:51,,False,2023-01-06
62902306,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-11-ID4fWLk,504716,7600,66.41,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFlZDRjdDl3M3VuMTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.pviMuE3c8Asf0eoebi3ne9U4mLBJVAQwl6V_YBB-OuA/image;s=1280x1024;q=80,2022-12-19 19:00:42,2022-12-19T19:00:42+01:00,False,2023-01-06
62902303,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-10-rezerwacja-ID4fWLh,432288,7600,56.88,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind5ejU3Zmd3amFncDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.MM1BM6npeUOhOqKJxMg1jt66BNs0M8Y0kMQaqPczYQ0/image;s=1280x1024;q=80,2022-12-18 19:00:39,2022-12-18T19:00:39+01:00,False,2023-01-06
62902301,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-9-ID4fWLf,512848,7600,67.48,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjV5cGhodzI5OGhrMDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ZwyAaI2LXtfCM6PKWktSrK90TjAQcRDIbyKp2TWHFTc/image;s=1280x1024;q=80,2022-12-17 19:00:43,2022-12-17T19:00:44+01:00,False,2023-01-06
63784623,https://www.otodom.pl/pl/oferta/bezczynszowa-kawalerka-z-ogrodkiem-super-lokaliza-ID4jDif,186000,6200,30.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtjcnZ4OWdieG0wZTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.cVbhyH5w-rozUvjRWS8y8vMQOLv1AhUazwUanQJeMkI/image;s=1280x1024;q=80,2022-12-17 18:35:32,,False,2023-01-06
63784109,https://www.otodom.pl/pl/oferta/ul-orla-blok-46-m2-balkon-rozkladowe-4pietro-ID4jD9X,249000,5357,46.48,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpudmU3a2c5YzFjczMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.l5UcLb3jtamwPJxGAlSnDFycx8ceSluiI5Vg9GDRdng/image;s=1280x1024;q=80,2022-12-17 08:33:28,,False,2023-01-06
63699345,https://www.otodom.pl/pl/oferta/super-cena-mieszkanie-58-60m2-pabianice-centrum-ID4jh6N,289000,4932,58.6,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijdkd2xxaWM4azF2bDEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.1mdzOnFZsxdfmzNba9vmtsJ4tm47431dNG3gHipZu3A/image;s=1280x1024;q=80,2022-12-16 21:06:06,2022-12-16T21:06:07+01:00,True,2023-01-06
62902296,https://www.otodom.pl/pl/oferta/pod-77-nowoczesne-mieszkanie-nr-7-ID4fWLa,505704,7600,66.54,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind5ejU3Zmd3amFncDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.MM1BM6npeUOhOqKJxMg1jt66BNs0M8Y0kMQaqPczYQ0/image;s=1280x1024;q=80,2022-12-16 19:00:59,2022-12-16T19:00:59+01:00,False,2023-01-06
63774612,https://www.otodom.pl/pl/oferta/m4-bez-posrednikow-3-pokoje-50m2-duzy-balkon-kw-ID4jAGM,280000,5593,50.06,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9nbjFieDk3MHA0Ny1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.oZ3aAHw3qEy9rAagal-5ke5bchlnsj4ABT3MclbYXvs/image;s=1280x1024;q=80,2022-12-13 20:18:27,,True,2023-01-06
63772713,https://www.otodom.pl/pl/oferta/pabianice-ul-moniuszki-38m2-bardzo-zadbane-iii-p-ID4jAc9,250000,6572,38.04,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ing2Z3lvcmk5dDQ0MDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.JBjuKfDRZZDpmGJnEi5OvzU8XHkXDhLWh9EWJB3UYeg/image;s=1280x1024;q=80,2022-12-13 11:37:04,,False,2023-01-06
63630794,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-ul-podlesna-bugaj-ID4iZh8,281718,7400,38.07,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM3dmF5OW5tcW01azEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Fp_8izx3rmtBKY15NMmmlyL8SsBEYVG8-dg6euo9sso/image;s=1280x1024;q=80,2022-12-12 12:31:38,2022-12-12T12:31:38+01:00,False,2023-01-06
